MSFT Microsoft
AAPL Apple
AMZN Amazon
IBM IBM
YHOO Yahoo
SNDK Sandisk
EA ElectronicArts
XRX Xerox
SNE Sony
FB Facebook
GOOGL Google
LNKD LinkedIn
PCRFY Panasonic
ADEP Adobe
ADSK Autodesk
AMD AdvancedMicroDevices
CSCO Cisco
HPQ Hewlett-Packard
INFY Infosys
INTU Intuit
KNM Konami
KYO Kyocera
LOGI Logitech
MRVL Marvell
MXIM Maxim
MSI Motorola
NOK Nokia
NVDA NVIDIA
OMC Omnicom
NXPI NXPSemiconductors
ORCL Oracle
RHT RedHat
CRM Salesforce.com
SWKS SkyworksSolutions
TSM TaiwanSemiconductorManufacturing
TTWO Take-TwoInteractive
TXN TexasInstruments
TWTR Twitter
WDC WesternDigital
WIT Wipro
WDAY Workday
ZNGA Zynga
